player,college,Team,Year,Player_URL,HS
Tornike Shengelia,,BRK,2014,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Tornike Shengelia,,BRK,2014,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Tornike Shengelia,,BRK,2014,https://www.basketball-reference.com/players/s/shengto01.html,NA||
Tyshawn Taylor,Kansas,BRK,2014,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2014,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Tyshawn Taylor,Kansas,BRK,2014,https://www.basketball-reference.com/players/t/tayloty01.html,"Saint Anthony in Jersey City, New Jersey|"
Marquis Teague,Kentucky,BRK,2014,https://www.basketball-reference.com/players/t/teaguma01.html,"Pike in Indianapolis, Indiana|"
Marquis Teague,Kentucky,BRK,2014,https://www.basketball-reference.com/players/t/teaguma01.html,"Pike in Indianapolis, Indiana|"
Marquis Teague,Kentucky,BRK,2014,https://www.basketball-reference.com/players/t/teaguma01.html,"Pike in Indianapolis, Indiana|"
Mirza Teletović,,BRK,2014,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2014,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2014,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2014,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Mirza Teletović,,BRK,2014,https://www.basketball-reference.com/players/t/teletmi01.html,NA||
Jason Terry,Arizona,BRK,2014,https://www.basketball-reference.com/players/t/terryja01.html,"Franklin in Seattle, Washington|"
